timestep,tile_id,accuracy,precision,recall,f1,jaccard
Timestep_6,T10SEJ_2018_7_9,0.8033160142136224,0.8033160142136224,1.0,0.8909320472750606,0.8033160142136224
Timestep_6,T10SFH_2018_7_5,0.7554528684377292,0.7554528684377292,1.0,0.8606928525629364,0.7554528684377292
Timestep_6,T11SKV_2018_5_9,0.5300554742684994,0.922092233064386,0.4833344649346279,0.6342258286726583,0.4643709348056269
Timestep_6,T10SFG_2018_4_9,0.5291911772024644,0.9059595260218049,0.4950428767879213,0.6402398869777904,0.4708476744142686
Timestep_6,T10SFG_2018_2_9,0.5067758567489823,0.665704932245776,0.430233326461462,0.5226725961364794,0.3537960473552316
Timestep_6,T10SFH_2018_8_3,0.6746460695219989,0.6746460695219989,1.0,0.8057177953005508,0.6746460695219989
Timestep_6,T10SGF_2018_3_4,0.7725355921181416,0.8848335210962058,0.8314702103847113,0.8573222797884329,0.7502747840657115
Timestep_6,T10SFJ_2018_4_2,0.4722595479112544,0.4722595479112544,1.0,0.6415438753054996,0.4722595479112544
Timestep_6,T11SKA_2018_2_6,0.4945147826317763,0.7171094472428472,0.2550187039339313,0.3762391236037629,0.2317084547810914
Timestep_6,T10SFH_2018_0_2,0.7632257358137498,0.7632257358137498,1.0,0.8657152856965441,0.7632257358137498
Timestep_6,T11SKV_2018_5_6,0.6722389773092989,0.775302176606738,0.7086636740635335,0.7404867015442732,0.5879149529045661
Timestep_6,T10SGF_2018_6_5,0.8409701693093254,0.942996076281867,0.8804736148315939,0.9106629719180156,0.8359790849315349
Timestep_6,T10SFG_2018_0_4,0.4844078155016075,0.4843995248097746,0.9998476001301392,0.6526213785387521,0.4843637624522916
Timestep_6,T11SKV_2018_3_9,0.4393192126104425,0.9093481079806672,0.381898240457252,0.537896494841696,0.3678922134746248
Timestep_6,T11SLV_2018_9_1,0.812722917309498,0.9351864118461056,0.8337003782266125,0.881532124773723,0.7881604329452738
Timestep_6,T10SFJ_2018_5_2,0.6132137915932595,0.6132137915932595,1.0,0.7602387170117493,0.6132137915932595
Timestep_6,T11SKV_2018_6_8,0.4915685415774997,0.8487717663905167,0.4365388719416513,0.5765483586393276,0.4050354377253076
Timestep_6,T10SGF_2018_2_2,0.779510519208629,0.9485311286522592,0.7962638510073797,0.8657533499418466,0.7632849080025575
Timestep_6,T10SGG_2018_9_5,0.7036091452914888,0.6684241980508476,0.5299437369110888,0.5911827361570972,0.4196305307506651
Timestep_6,T11SKA_2018_5_9,0.4785194806918358,0.3937514005090929,0.287321330148815,0.3322205428279183,0.1991993254259395
